14. 3. 11 오전 2:11
프로젝트 통계

      	  부분	   단어	문자 (공백 없이)	문자 (공백 포함)	
총:    	4513	38437	    222809	    255004	
남은:   	4512	38435	    222794	    254987	
고유:   	2891	31455	    181028	    207506	
남은 고유:	2890	31453	    181013	    207489	


개별 파일 통계:

파일 이름                              	총 부분	나머지 부분	고유 부분	남은 고유 부분	총 단어	남은 단어	고유 단어	나머지 고유 단어	총 문자 (공백 없이)	나머지 문자 (공백 없이)	고유 문자 (공백 없이)	나머지 고유 문자 (공백 없이)	총 문자 (공백 포함)	나머지 문자 (공백 포함)	고유 문자 (공백 포함)	나머지 고유 문자 (공백 포함)	
addons.md                          	   4	     4	    4	       4	  34	   34	   34	       34	         253	           253	          253	              253	         273	           273	          273	              273	
browser-extensions.md              	  10	     9	   10	       9	 164	  162	  164	      162	        1139	          1124	         1139	             1124	        1264	          1247	         1264	             1247	
build-configuration.md             	 343	   343	  311	     311	2915	 2915	 2859	     2859	       16047	         16047	        15676	            15676	       18561	         18561	        18166	            18166	
build-feeds.md                     	  14	    14	   14	      14	 187	  187	  187	      187	        1081	          1081	         1081	             1081	        1216	          1216	         1216	             1216	
caching.md                         	 104	   104	   92	      92	1074	 1074	 1045	     1045	        6319	          6319	         6117	             6117	        7220	          7220	         7003	             7003	
cc-menu.md                         	  24	    24	   20	      20	 306	  306	  301	      301	        1907	          1907	         1861	             1861	        2122	          2122	         2076	             2076	
ci-environment.md                  	 203	   203	  201	     201	1561	 1561	 1555	     1555	        9227	          9227	         9182	             9182	       10496	         10496	        10445	            10445	
code-climate.md                    	  29	    29	   29	      29	 356	  356	  356	      356	        2176	          2176	         2176	             2176	        2456	          2456	         2456	             2456	
common-build-problems.md           	  38	    38	   32	      32	 285	  285	  276	      276	        1720	          1720	         1674	             1674	        1956	          1956	         1909	             1909	
coverity-scan.md                   	 109	   109	   89	      89	1038	 1038	 1008	     1008	        5941	          5941	         5813	             5813	        6853	          6853	         6709	             6709	
customizing-the-build.md           	  55	    55	   54	      54	 732	  732	  728	      728	        3772	          3772	         3751	             3751	        4450	          4450	         4425	             4425	
database-setup.md                  	 209	   209	  152	     152	1543	 1543	 1353	     1353	        9080	          9080	         7968	             7968	       10430	         10430	         9179	             9179	
